epoch,g_loss,d_loss,val_l1,lr,time_sec
218,23.052981,0.207084,0.217632,0.00031867,43.12
219,22.791123,0.214776,0.20438,0.000316,43.23
220,23.783274,0.183912,0.202839,0.00031333,43.2
221,23.081288,0.215019,0.200779,0.00031067,43.1
222,22.835561,0.21857,0.202638,0.000308,43.37
223,23.022716,0.212194,0.213641,0.00030533,43.38
224,23.494351,0.182089,0.210439,0.00030267,43.31
225,22.79316,0.214389,0.212382,0.0003,43.08
226,22.862102,0.222251,0.206047,0.00029733,43.25
227,22.20829,0.282794,0.20405,0.00029467,43.61
228,23.085929,0.191396,0.217815,0.000292,43.33
229,23.289363,0.197964,0.215521,0.00028933,43.21
230,23.315359,0.19771,0.209294,0.00028667,43.88
231,23.207557,0.187719,0.213533,0.000284,47.15
232,23.131771,0.212695,0.214915,0.00028133,47.19
233,23.175964,0.191227,0.208083,0.00027867,71.16
234,23.571231,0.183648,0.212589,0.000276,82.32
235,23.30983,0.197389,0.211501,0.00027333,82.98
236,22.789532,0.256603,0.211088,0.00027067,69.91
237,22.701737,0.217287,0.207967,0.000268,43.24
238,22.704218,0.21948,0.21009,0.00026533,43.39
239,22.906705,0.211584,0.211473,0.00026267,43.98
240,23.2469,0.182687,0.206942,0.00026,43.3
241,23.551698,0.180727,0.212452,0.00025733,43.39
242,23.193468,0.214594,0.217632,0.00025467,43.5
243,23.086695,0.210724,0.210976,0.000252,43.1
244,23.433011,0.187333,0.210601,0.00024933,43.06
245,23.284806,0.194933,0.203617,0.00024667,42.99
246,22.773577,0.230035,0.207403,0.000244,43.07
247,23.338966,0.18157,0.211457,0.00024133,43.32
248,23.569478,0.1788,0.215013,0.00023867,43.02
249,23.402825,0.183537,0.206868,0.000236,42.84
250,22.827603,0.234692,0.207815,0.00023333,43.11
251,23.145172,0.181734,0.213732,0.00023067,42.85
252,23.213277,0.193359,0.21723,0.000228,42.94
253,23.344841,0.198561,0.20968,0.00022533,43.05
254,23.639892,0.179637,0.203322,0.00022267,43.19
255,23.568086,0.200096,0.215364,0.00022,43.64
256,22.824803,0.206666,0.211185,0.00021733,43.52
257,23.179265,0.188062,0.20615,0.00021467,43.34
258,23.731041,0.176865,0.211659,0.000212,43.13
259,23.00173,0.217891,0.211465,0.00020933,43.51
260,23.15198,0.184104,0.202536,0.00020667,42.87
261,23.458981,0.185718,0.200854,0.000204,43.14
262,23.0823,0.203008,0.214787,0.00020133,43.3
263,23.165429,0.205207,0.199113,0.00019867,43.43
264,23.220103,0.184935,0.209431,0.000196,43.05
265,23.216232,0.190664,0.212997,0.00019333,43.2
266,23.169443,0.20864,0.21712,0.00019067,43.7
267,23.137147,0.186134,0.212437,0.000188,43.23
268,23.539654,0.175419,0.20182,0.00018533,43.14
269,23.39416,0.188546,0.212509,0.00018267,43.24
